Event,Date,UTC time,Local time,Latitude,Longitude,Depth,Magnitude,Mag. type,Max. int,Region,More Info
,,,(*),,,(km),,,,,
es2022ebtym,27/02/2022,21:03:22,22:03:22,36.0522,-8.6444,25,3.6,mbLg,,GOLFO DE CÁDIZ,
es2022dqkwe,21/02/2022,16:00:05,17:00:05,35.4388,-3.6161,18,3.7,mbLg,II-III,ALBORÁN SUR,
es2022dnemd,19/02/2022,21:22:31,21:22:31,28.0614,-16.1846,13,3.7,mbLg,II,ATLÁNTICO-CANARIAS,
es2022cxxiv,11/02/2022,12:46:34,13:46:34,36.3438,-9.1257,9,3.9,mbLg,,SW CABO DE SAN VICENTE,
es2022cxnrf,11/02/2022,7:53:15,8:53:15,36.3978,-9.1115,1,4.1,mbLg,,SW CABO DE SAN VICENTE,
es2022coogv,06/02/2022,9:59:38,10:59:38,35.4125,-3.6906,0,3.7,mbLg,II,ALBORÁN SUR,
es2022cogxx,06/02/2022,6:17:06,7:17:06,35.4665,-3.6646,10,3.8,mbLg,II,ALBORÁN SUR,
es2022ceuzf,01/02/2022,2:03:00,3:03:00,42.5002,1.4447,0,4,mbLg,III-IV,SE ANDORRA LA VELLA.AND,
es2022bwqnm,27/01/2022,14:44:07,15:44:07,42.5481,-9.4919,0,4.1,Mw,III-IV,ATLÁNTICO-GALICIA,
es2022bwozq,27/01/2022,13:57:41,14:57:41,42.5121,-9.468,0,3.7,mbLg,III,ATLÁNTICO-GALICIA,
es2022bgczj,18/01/2022,13:45:21,13:45:21,27.0613,-14.4628,0,4.8,mbLg,II,ATLÁNTICO-CANARIAS,
es2022aicmj,05/01/2022,10:19:00,11:19:00,36.8292,-3.6881,0,3.5,mbLg,IV,SW LENTEGÍ.GR,
es2022aiagv,05/01/2022,9:11:52,10:11:52,35.5291,-3.6527,6,3.9,mbLg,III,ALBORÁN SUR,
es2022abpsg,01/01/2022,21:03:49,22:03:49,36.3276,-7.6271,6,4.4,mbLg,III,GOLFO DE CÁDIZ,
es2021zonym,30/12/2021,15:28:20,16:28:20,35.4549,-3.6736,0,3.8,mbLg,III,ALBORÁN SUR,
es2021zaukz,23/12/2021,2:52:52,3:52:52,35.1197,-3.938,0,3.6,mbLg,,NE TAMASSINT.MAC,
es2021zasmv,23/12/2021,1:54:26,2:54:26,35.1483,-3.9071,0,4.2,mbLg,III,NE TAMASSINT.MAC,
es2021yyidb,21/12/2021,18:23:58,19:23:58,43.2081,-8.981,10,3.5,mbLg,III-IV,SE LAXE.C,
es2021ywtbd,20/12/2021,21:39:06,22:39:06,35.4644,-3.7012,0,3.6,mbLg,II-III,ALBORÁN SUR,
es2021ywlxj,20/12/2021,18:02:36,19:02:36,39.3678,-11.6083,36,3.7,mbLg,,ATLÁNTICO-PORTUGAL,
es2021yemnr,10/12/2021,21:57:53,21:57:53,28.5473,-17.8251,16.6,3.7,mbLg,II-III,NE FUENCALIENTE DE LA PALMA.IL,
es2021ydrck,10/12/2021,11:08:22,11:08:22,28.5728,-17.8345,10,3.6,mbLg,IV,SW VILLA DE MAZO.ILP,
es2021yacca,08/12/2021,12:09:07,12:09:07,28.5814,-17.84,37.4,3.6,mbLg,,SW VILLA DE MAZO.ILP,
es2021xyqbd,07/12/2021,16:56:26,16:56:26,28.5729,-17.8458,12.4,3.6,mbLg,III,SW VILLA DE MAZO.ILP,
es2021xyjfw,07/12/2021,13:29:46,13:29:46,28.5554,-17.8447,13.9,4,mbLg,IV,N FUENCALIENTE DE LA PALMA.ILP,
es2021xwdbi,06/12/2021,8:06:40,9:06:40,44.1392,-7.758,2,3.6,mbLg,II,CANTÁBRICO,
es2021xvmxg,05/12/2021,23:57:01,23:57:01,28.5582,-17.8355,14.1,3.9,mbLg,III-IV,NE FUENCALIENTE DE LA PALMA.IL,
